Protocol,Sub_Sector,Daily_Revenue_USD,7d_Revenue_USD,30d_Revenue_USD
LiquidCore,Dexs,503.0,5833.0,52609.0
Definity Staked SOL,Liquid Staking,494.0,1959.53,7656.01
Lombard Vaults,Onchain Capital Allocator,493.0,3459.0,16890.0
Neverland,Lending,489.0,3522.0,15219.0
Hyperbeat USD,Lending,488.0,2776.0,11898.0
ClaimRush,Gamified Mining,486.0,18364.0,74215.0
Dexly Trade,Interface,474.0,3879.0,17191.0
Blockchain Wallet Perps,Interface,467.0,46017.0,303865.0
Metronome Synth,Synthetics,458.0,6646.82,112840.94
Felix Vaults,Onchain Capital Allocator,453.0,3624.0,28118.0
Ekubo,Dexs,450.0,4659.0,18067.45
Armitage by Wintermute,Risk Curators,449.0,3290.0,10074.0
Ramses DLMM,Dexs,448.0,2741.0,14927.0
Layer3,Foundation,445.0,2432.0,12224.0
Gate Swap Spot,Dexs,442.0,2205.0,10913.0
Liquity V2,CDP,439.0,3863.0,37561.0
Near Perps,Interface,434.0,6543.0,21964.0
Re7 Labs,Risk Curators,426.0,2881.0,10212.0
Infrared Finance,Liquid Staking,425.0,2696.0,7390.0
VVS Standard,Dexs,418.0,7675.0,35393.0
Atomic Perps,Interface,418.0,3991.0,21959.0
EasyA Kickstart,Launchpad,415.0,1246.0,29248.0
MEVX,Telegram Bot,411.0,4956.0,45569.0
infiniFi,Yield,401.0,3089.0,13919.0
Bullpen Perps,Interface,401.0,3120.0,33588.0
Looped Hype,Yield,401.0,588.0,3567.0
Toros,Yield,398.0,2432.0,10972.43
Pear Interface,Interface,395.0,5263.0,64590.0
AlphaQ,Dexs,395.0,4489.0,17237.0
BasedApp,Interface,394.0,7517.0,185882.0
Kreo,Interface,387.0,3029.0,16198.42
Hyperbeat-P2P-Hypio HYPE Staking,Staking Pool,384.0,2806.0,11398.0
Folks Finance Lending,Lending,382.0,2006.0,4446.0
NodeOps,DePIN,380.0,1092.0,5875.0
Hyperbeat Earn,Yield Aggregator,379.0,4253.0,15013.0
Orynth,Launchpad,375.0,1051.0,3767.0
Dreamcash Interface,Interface,373.0,5356.0,39028.0
b14g,Restaking,372.0,2378.0,10501.85
Arbitrum Timeboost,MEV,371.0,2459.0,19024.0
Paragon,Interface,370.0,2991.0,11742.0
aeon,AI Agents,367.0,6660.0,39977.0
dextrabot,Interface,366.0,2912.0,9172.42
Hakutora,Risk Curators,358.0,2628.0,10699.0
Avant avETH,Onchain Capital Allocator,350.0,2720.0,11552.0
MEV Capital,Risk Curators,347.0,2277.0,7955.0
Pull.fun,Physical TCG,347.0,44445.0,186437.0
Kodiak V3,Dexs,347.0,2658.0,14745.0
Neutral Trade,Onchain Capital Allocator,347.0,2437.0,5965.0
RealT RMM Marketplace V2,Lending,342.0,2326.0,5865.0
DipCoin Perps,Derivatives,336.0,5880.0,24877.0
Maxbid,Trading App,335.0,2996.0,9730.0
Pocket Universe,Security Extension,326.0,4898.0,46807.0
Kasu,Uncollateralized Lending,320.0,2241.0,9814.0
Hookers,Launchpad,320.0,4360.0,19473.0
Mantle Restaking,Liquid Restaking,318.0,28365.0,100005.0
VanEck Treasury Fund,RWA,318.0,2223.0,13967.0
ICPSwap,Dexs,310.0,2590.0,7843.0
ZeroLend Vaults,Risk Curators,306.0,2133.0,9102.0
Hydration DEX,Dexs,304.0,6620.0,25956.0
GLIF,Liquid Staking,299.0,1028.0,5140.0
UNCX Network V2,Token Locker,295.0,1223.99,5024.459999999999
Mystic Finance Lending,Lending,294.0,2655.0,10568.0
SoSoValue Basis,Basis Trading,294.0,2058.0,8827.0
Verio,Liquid Staking,292.0,1018.0,4103.68
token.select,Launchpad,289.0,3303.0,30367.22
Rujira Trade,Dexs,287.0,1932.67,16021.44
Chamber Vaults,Indexes,286.0,1353.0,19035.170000000002
Kamino Liquidity,Liquidity Manager,285.0,6061.0,37953.0
XRPL,Chain,282.0,3816.0,14532.0
Synthetix V4,Derivatives,271.0,2125.0,6487.0
Kaching,Luck Games,270.0,1724.0,11825.0
Vultisig,DEX Aggregator,266.0,896.52,2535.3900000000003
Solana Name Service,Domains,261.0,1542.0,8659.24
Jupiter Studio,Launchpad,259.0,6512.0,69036.0
1inch Aqua,Dexs,258.0,2349.0,8147.97
Enosys AMM V3,Dexs,254.0,1697.57,18824.28
Yearn Curating,Risk Curators,253.0,1713.0,7562.0
ZKsync Era,Chain,251.0,2180.0,10323.0
Zest V2,Lending,248.0,1721.0,5498.48
Reya Perps,Derivatives,248.0,1637.0,9292.0
LeverUp,Derivatives,246.0,3490.0,15698.0
Bullpen Prediction Markets,Interface,243.0,1184.9,6722.57
Nad.fun V1,Launchpad,242.0,8861.0,59300.8
GETH,Liquid Staking,241.0,1679.0,6888.0
Camelot V2,Dexs,241.0,1818.0,6982.34
Enzyme Finance,Indexes,239.0,2512.03,11431.03
Space and Time,Developer Tools,237.0,1697.0,6085.0
Origin Dollar,Yield Aggregator,235.0,1648.0,6568.0
Apexliquid Perps,Interface,234.0,1941.0,12117.0
Hamilton Lane Senior Credit Opportunities Securitize Fund,RWA,233.0,1631.0,7045.0
Veno Finance,Liquid Staking,233.0,1609.0,6889.49
Curve LlamaLend V2,Lending,233.0,1652.0,5762.0
Supercexy,Interface,229.0,377.53,1568.6899999999998
AlphaTicks HYPE Staking,Staking Pool,225.0,1648.0,7000.0
Balancer V3,Dexs,216.0,2122.0,10604.0
Phantom SOL,Liquid Staking,214.0,2484.0,14508.0
Loopr,Yield,214.0,686.0,5765.0
Strata Markets,Yield,214.0,3289.0,15835.0
WhatExchange,Interface,211.0,1771.0,9314.0
Vergex Perps,Interface,210.0,4033.0,15482.0
Crypto.com Liquid Staking,Liquid Staking,210.0,1660.46,8212.25
Takara Lend,Lending,208.0,1272.0,5307.0
YeNo,Interface,205.0,1324.25,2751.71
Arkada,SoFi,203.0,1323.0,7245.0
Tria Perps,Interface,202.0,2366.0,13583.0
HertzFlow,Derivatives,202.0,2190.0,5259.71
Ramses Legacy V2,Dexs,202.0,7298.0,95592.92
Velora,DEX Aggregator,200.0,3794.0,18141.510000000002
Jupiter Offerbook,Lending,199.0,724.0,3393.0
Stride,Liquid Staking,198.0,1533.0,5963.0
Piku Finance,Basis Trading,195.0,1198.0,7264.0
Ensuro,Insurance,195.0,1772.0,7651.0
Swell Liquid Staking,Liquid Staking,190.0,717.0,3016.0
Stader,Liquid Staking,190.0,6559.0,24917.0
Aori,Cross Chain Bridge,186.0,1460.0,7092.74
Figure Markets Exchange,OTC Marketplace,182.0,4873.0,13347.31
Katana DEX,Dexs,180.0,884.94,4888.38
Hyperbeat Liquid Bank Perps,Interface,175.0,1151.0,12475.0
Rialto Aggregator,DEX Aggregator,175.0,5044.0,22584.0
M0,Stablecoin Issuer,174.0,651.56,5679.9400000000005
Fidelity Digital Interest Token,RWA,174.0,1262.0,7362.0
Alt Fun,Launchpad,171.0,1162.55,40508.43000000001
Api3,Risk Curators,170.0,1270.0,5442.0
Katana DEX V3,Dexs,170.0,407.0,1950.0
Wallet V,Interface,170.0,3489.0,24228.0
Treehouse Protocol,DOR,167.0,937.0,5286.05
Polygun,Interface,166.0,1887.0,7398.0
Cardano,Chain,166.0,1781.0,8479.0
Capyfi,Lending,166.0,976.0,4048.59
Infinex Spot,Dexs,162.0,2310.0,10529.0
Tinyman,Dexs,161.0,930.0,3687.0
Aborean AMM,Dexs,161.0,510.52000000000004,2522.0
MagicSea LB,Dexs,159.0,737.67,4871.56
WooFi Pro Perps,Interface,158.0,2090.0,16997.0
Vena Finance,Lending,158.0,1113.0,4693.0
Supernova CL,Dexs,157.0,2332.0,11336.44
Lyra Protocol,Trading App,156.0,958.7,2951.63
WunderTrading Perps,Interface,155.0,2438.0,14255.0
THORWallet,DEX Aggregator,151.0,2603.0,18388.0
Superform,Yield Aggregator,150.0,353.84999999999997,1538.9599999999998
Obol,Staking Pool,149.0,-4307.0,-566.0
Panoptic V2,Options,149.0,1274.0,5392.48
Binaryx Platform,RWA,145.0,311.37,12031.979999999998
Camelot V3,Dexs,144.0,1720.0,8129.71
Somnia,Chain,141.0,1010.0,3619.0
SparkDEX V4,Dexs,137.0,1890.0,20513.0
MatrixDock STBT,RWA,134.0,938.0,4000.0
OpenEden USDO,RWA,134.0,2450.0,14750.0
StockRip,Gamified Mining,134.0,3246.0,31558.3
W-DEX,Dexs,132.0,2615.85,9834.69
Momentum,Dexs,131.0,1496.0,7247.0
ShMonad,Liquid Staking,130.0,959.0,4641.0
Solayer Restaking,Restaking,130.0,553.11,982.21
EVplusAI Predictions,Interface,130.0,602.17,4334.99
Rainbow Predictions,Interface,129.0,857.44,3369.4299999999994
Cetus DLMM,Dexs,128.0,1464.0,5847.0
Taiko,Chain,128.0,505.0,1615.76
cro.trade Perps,Interface,128.0,1425.0,19667.0
Feather,Risk Curators,127.0,953.0,4659.0
Creator Bid,AI Agents,125.0,1727.26,10877.13
RHEA LST,Liquid Staking,124.0,896.0,3275.9
SaucerSwap V2,Dexs,124.0,2460.0,12897.0
Cantex,Dexs,124.0,1140.57,9779.57
topblast.lol,Launchpad,123.0,4713.0,45016.0
HyperX Perps,Interface,123.0,1690.0,8732.0
Galaxy Curation,Risk Curators,123.0,858.0,3642.6
ZORA Coins,Launchpad,122.0,834.0,6359.0
Plasma,Chain,120.0,2700.0,13763.0
SunPump,Launchpad,120.0,11434.0,80420.0
YieldNest,Onchain Capital Allocator,118.0,468.0,6174.299999999999
RateX DEX,Yield,116.0,847.08,6258.08
lockin,Trading App,113.0,415.43,795.6300000000001
Piteas,DEX Aggregator,111.0,7282.0,68431.0
Etherex CL,Dexs,110.0,1321.0,5419.0
DexLab,Launchpad,110.0,140.0,140.0
Vault Bridge,Risk Curators,109.0,833.0,3359.0
ThalaSwap V3,Dexs,108.0,1512.0,11761.0
Valdora Finance,Liquid Staking,106.0,801.0,3637.0
Bucket Protocol V2,CDP,106.0,3011.0,15707.469999999998
Moonwell Vaults,Onchain Capital Allocator,105.0,746.0,4379.0
B.Protocol Curator,Risk Curators,105.0,746.0,4374.0
Jade,Gamified Mining,104.0,654.0,4489.0
AlphaPing,Risk Curators,104.0,347.0,1182.0
Polytrader,Interface,104.0,516.65,2169.2300000000005
Kodiak Perps,Interface,104.0,530.95,926.49
Storm Trade,Derivatives,103.0,1203.0,7225.0
Astro,Luck Games,103.0,108.97,774.5399999999998
Owly,Interface,102.0,788.0,4204.78
THORChain,Chain,101.0,2691.0,7347.0
RWA Perp,Interface,101.0,564.0,1088.3
Scallop Lend,Lending,100.0,806.0,24341.0
Joe DEX,Dexs,99.5,857.91,3217.87
Contango V2,Derivatives,99.47,432.89,1960.31
Metaplex,Launchpad,98.0,25806.0,227429.0
Ember Protocol,Onchain Capital Allocator,98.0,485.0,2032.0
Mezo Borrow,CDP,97.49,1175.85,4709.51
OpenTrade,RWA,97.0,682.0,3216.0
Dswap,Dexs,94.09,400.92,3189.92
WaterNeuron,Liquid Staking,94.0,638.0,2355.0
ALEX,Dexs,94.0,562.0,3528.3199999999997
Avici,Crypto Card Issuer,94.0,1001.0,8372.0
ZyFAI,AI Agents,93.15,1404.58,6691.259999999999
Carbon Defi,Dexs,92.1,1153.12,4132.67
OroSwap,Dexs,92.0,762.0,3933.0
Gamma,Liquidity Manager,91.15,1068.8,6913.719999999999
Hipo,Liquid Staking,90.0,447.03,447.04
Project 0,Lending,90.0,629.0,2621.0
Bedrock uniBTC,Anchor BTC,90.0,11.98,816.3899999999998
pvp.trade,Interface,89.0,2457.0,16891.0
Kumbaya,Dexs,89.0,1090.0,5223.0
marginfi Lending,Lending,89.0,627.0,1266.0
PulseX StableSwap,Dexs,88.0,545.0,2723.0
Lendle Pooled Markets,Lending,87.0,1664.0,6013.0
Clutch Anvil AMM,Dexs,86.95,761.06,10681.5
Lagoon,Onchain Capital Allocator,86.17,606.28,2989.4399999999996
Telos Consilium,Risk Curators,86.0,602.0,2602.0
Sablier Legacy,Payments,85.19,636.03,1874.6700000000003
Minswap Aggregator,DEX Aggregator,85.0,553.0,4848.0
Berachain,Chain,84.0,574.0,3134.0
Rainbow Perps,Interface,83.0,2099.0,24836.0
Trends Legacy,Launchpad,82.0,1149.0,3200.41
SyncSwap,Dexs,81.04,869.6,4633.849999999999
BOB,Chain,80.23,531.58,644.35
DefiTuna Liquidity,Liquidity Manager,80.0,524.0,7593.99
Nansen Perps,Interface,80.0,485.0,6551.0
CallPut,Options,79.39,2119.4300000000003,17481.85
PoolTogether V5,Yield Lottery,78.67,874.76,3981.93
O2 Exchange,Dexs,78.0,523.0,1398.0
Ravenhood,Volume Boosting,75.12,1297.95,16135.08
Ready Cards,Physical TCG,73.0,2300.0,25747.0
Haystack,Trading App,72.0,285.49,807.8000000000001
SundaeSwap V2,Dexs,72.0,718.0,3626.0
Frontier,Launchpad,72.0,2878.92,3531.8199999999997
Sperax USD,Yield Aggregator,71.83,0.2,181.62000000000003
VVS Flawless,Dexs,71.8,952.0699999999999,5255.07
LilSwap,DEX Aggregator,71.72,359.5,5134.46
Lavarage,Derivatives,71.0,672.0,6574.0
Farcaster SoFi,SoFi,71.0,491.0,2588.01
DIEM Relay,Yield,71.0,409.0,1277.03
Quickswap V3,Dexs,68.02,736.02,7007.030000000001
Walrus Protocol,Developer Tools,68.0,347.0,3338.0
Basenames,Domains,67.8,609.94,4467.57
Sonic,Chain,67.0,964.0,3199.0
FanX Protocol,Dexs,66.72,424.1,2227.36
Concrete,Onchain Capital Allocator,65.02,1256.1,17182.170000000002
Joe V2.2,Dexs,64.83,743.22,4164.68
Hydro Lending,Lending,64.0,147.0,682.77
Dexari,Interface,64.0,699.0,10656.0
Makina,Onchain Capital Allocator,63.68,317.75,1363.3200000000002
Blackhole AMM,Dexs,62.97,1267.37,6021.71
POWERCITY Earn Protocol,CDP,62.67,7253.0,8802.85
Morph,Chain,62.55,1472.84,2826.25
Folks Finance xChain,Lending,61.99,347.64,1926.0900000000004
TAU Labs,Risk Curators,61.36,395.76000000000005,1998.23
Consensus Liquidity DEX,Dexs,61.33,126.87000000000002,400.59999999999997
Nado Spot,Dexs,61.0,413.0,3151.0
Tezos,Chain,61.0,439.0,8325.0
Solauncher,Launchpad,60.67,112.41,806.31
Volo LST,Liquid Staking,60.57,761.31,3419.5499999999997
Allbridge Core,Bridge,60.13,1582.1699999999998,3827.9800000000005
HypurrQuant,DEX Aggregator,60.0,498.0,4296.0
Illuvium,Gaming,59.55,656.0400000000001,2981.55
CRSHMARKET,Prediction Market,59.44,725.76,35328.23
NextRare,Physical TCG,59.38,2448.0,11302.0
DefiTuna AMM,Dexs,59.0,719.0,2052.0
PERPTools,Interface,58.0,224.0,2388.0
TONCO V2,Dexs,55.57,1248.1399999999999,3400.6
Lynex V2,Dexs,54.0,605.0,4430.0
Bonk Staked SOL,Liquid Staking,54.0,301.25,3756.92
opBNB,Chain,53.0,349.0,1841.0
Ryze Protocol,Dexs,52.04,158.76000000000002,941.5899999999999
Kaia,Chain,52.0,368.0,1901.0
AllBlue V3,Dexs,50.93,480.62,3713.56
LiquidBots,Interface,50.0,376.0,2374.0
Ethena USDe,Basis Trading,49.89,785.1700000000001,9192.64
Alpha Arcade,Prediction Market,49.05,110.08000000000001,447.24999999999994
Banana Gun,Telegram Bot,49.0,1818.0,10431.0
Preddy,Interface,48.9,570.29,6158.110000000001
Lista DEX,Dexs,48.77,803.39,4338.07
XO Market,Prediction Market,48.55,303.63,3947.6100000000006
HOPR,Privacy,48.17,327.84,1274.2
Soneium,Chain,48.0,294.0,1825.3899999999999
Flying Tulip ftUSD,Yield Aggregator,47.47,541.98,2125.7899999999995
Shift Protocol,Onchain Capital Allocator,47.01,112.07,1143.57
Senpi Perps,Interface,47.0,436.0,5162.0
Swell Liquid Restaking,Liquid Restaking,47.0,271.0,1002.97
zERC20,Privacy,47.0,647.53,2192.8599999999997
Bancor V3,Dexs,46.81,740.25,2976.31
Arena Perps,Interface,46.0,2503.0,4793.57
BasePaint,Services,45.91,282.34,1224.1899999999998
Lynx,Derivatives,45.19,144.39,1190.36
Sudoswap V1,NFT Marketplace,45.0,106.00999999999999,416.91
CCXT Perps,Interface,45.0,293.0,3227.0
Avant avBTC,Onchain Capital Allocator,45.0,615.11,2770.2400000000002
Tradoor Perps Aggregator,Interface,44.0,653.0,3357.5699999999997
Beets LST,Liquid Staking,42.6,313.39,1303.39
BeaverBuild,Block Builders,42.55,1316.56,24781.12
Equalizer Exchange,Dexs,42.39,484.61,2355.36
Deepstate,Dexs,42.1,2469.3500000000004,169406.35
Sharky,NFT Lending,41.73,314.82,1330.5300000000007
Blast,Chain,41.0,654.94,1380.2399999999998
basedbid,Launchpad,41.0,418.53000000000003,3525.8100000000004
Merchant Moe Liquidity Book,Dexs,40.62,359.47,5898.7
Launch Coin on Believe,Launchpad,40.0,45.15,248.47000000000003
Origami Tech Perps,Interface,40.0,256.0,1309.6399999999999
Kintara,Gaming,40.0,569.0,3128.0
Scale,Dexs,39.12,567.95,2162.6400000000003
Deluthium,DEX Aggregator,38.44,45.440000000000005,278.84999999999997
RIP.FUN,NFT Marketplace,37.08,931.9399999999999,2942.32
Lantern Staked SOL,Liquid Staking,37.0,174.33,1014.84
Ronin,Chain,37.0,264.0,1570.0
manifold.xyz,NFT Launchpad,36.0,866.53,3008.5699999999993
OHAYO Global,Interface,35.0,926.0,6290.51
Midas Markets,Interface,34.0,503.0,1752.19
HypurrFi Pooled,Lending,34.0,245.0,1691.0
BrownFi V3,Dexs,33.64,121.70999999999998,617.53
Lets Get HAI,CDP,33.58,237.53,1112.9899999999998
EISEN Finance,DEX Aggregator,33.4,56.760000000000005,6103.13
Shadow Exchange Legacy,Dexs,33.39,483.48,3406.8199999999997
AllBlue Stable,Yield,33.1,0.26,0.26
Backpack SOL,Liquid Staking,33.0,172.23,667.6400000000001
DragonSwap V3 Kaia,Dexs,33.0,277.0,2238.0
BullX,Telegram Bot,32.0,215.0,957.64
Bifrost Liquid Staking,Liquid Staking,32.0,665.0,2608.0
THENA V1,Dexs,32.0,387.0,1067.0
Hyperion,Dexs,32.0,508.0,2346.0
Bubble Curve,Launchpad,31.36,501.78000000000003,531.53
SmartX,Interface,31.07,233.03,5133.0999999999985
stake.link liquid,Liquid Staking,31.0,21085.0,73185.0
Kaskad,Lending,31.0,139.0,668.53
Scroll,Chain,31.0,175.92000000000002,738.6600000000001
Interface Social,Interface,30.44,33.64,215.78999999999996
XBIT Perps,Interface,30.0,519.85,1855.1
SoDEX Spot,Dexs,30.0,414.0,1047.65
Etherex Legacy,Dexs,30.0,1076.0,6367.0
Beets DEX,Dexs,29.71,236.04,1149.1799999999998
otomate.trade,Interface,29.67,779.6400000000002,2577.93
MUX Perps,Derivatives,29.09,522.99,2150.15
Quickswap V4,Dexs,28.63,339.24,1974.9899999999996
Vader AI,AI Agents,28.62,388.98,2111.72
Privacy Pools,Privacy,28.18,587.26,3635.5499999999997
DeepBook V3,Dexs,28.0,6425.0,46113.0
SaucerSwap V1,Dexs,28.0,215.0,1090.8600000000001
BEX,Dexs,27.83,198.63,892.9899999999999
Taco,Interface,27.0,769.0,2385.31
Ratio,Prediction Market,26.67,1026.3,3070.0599999999995
Mento V3,Dexs,26.12,496.19000000000005,2078.97
YeiLend,Lending,26.0,189.0,510.0
GoPlus Locker V2,Token Locker,26.0,658.6,2874.990000000001
Kittenswap CL,Dexs,25.68,318.78999999999996,2097.4599999999996
ZINC,Gamified Mining,25.02,316.51,10804.609999999997
Apostro,Risk Curators,24.29,169.53,710.25
SuperSwap Ink DEX Aggregator,DEX Aggregator,24.13,158.77000000000004,636.3199999999999
Tectonic,Lending,24.0,72.99000000000001,15140.559999999998
MemeMax,Interface,24.0,425.0,1872.7700000000002
Metropolis DLMM,Dexs,24.0,325.0,1622.54
BulbaSwap V3,Dexs,23.4,161.17,711.12
NetSwap,Dexs,23.38,213.01999999999998,762.4500000000002
PancakeSwap StableSwap,Dexs,23.22,126.83000000000001,764.0699999999999
Kinetiq Launch,Liquid Staking,23.01,169.01,634.3499999999999
Stronghold Staked SOL,Liquid Staking,23.0,98.33,385.35999999999996
SparkDEX V3.1,Dexs,23.0,200.0,2483.25
Full Sail,Dexs,22.7,368.27000000000004,16403.37
RockSolid Network,Yield,22.49,165.55,697.36
Raphael Exchange AMM,Dexs,22.48,1883.76,6039.76
Honeypop DEX,Dexs,22.25,195.42000000000002,953.91
Ethereal DEX,Derivatives,22.0,264.0,3497.0
Defi App Perps,Interface,22.0,496.0,6450.0
Swappi,Dexs,21.75,154.03,765.5300000000002
aPriori,Liquid Staking,21.75,171.48,869.99
SectorOne DLMM,Dexs,21.42,104.23,329.01
Coinbarrel,Launchpad,21.39,3487.52,49726.39
Arena DEX,Dexs,21.21,427.89000000000004,870.48
Myriad Markets,Prediction Market,20.25,111.85999999999999,440.56000000000006
Bonkswap,Dexs,20.0,328.0,1334.38
Venus Flux,Lending,19.36,134.17,607.9899999999999
ZO Perps,Derivatives,19.0,147.51,1382.87
AZverse Spot,Dexs,19.0,140.0,3628.0
AlphaFi stSUI,Liquid Staking,19.0,215.0,1180.0
Goldfinch,Uncollateralized Lending,18.73,343.11,3192.8
Sushi Launchpad,Launchpad,18.53,2047.07,7345.239999999999
ZNS Connect,Domains,17.85,112.89,373.34000000000003
Sudo Perps,Derivatives,17.0,137.41,1892.2699999999998
Dinari,RWA,16.9,202.14000000000001,202.14000000000001
Pharaoh V3 Legacy,Dexs,16.87,2348.07,9894.89
Hybra V3,Dexs,16.74,349.03,2048.7799999999997
bot.fun,Launchpad,16.56,544.0899999999999,2093.89
InfinityName,Domains,16.31,57.8,644.68
AutoRange,Dexs,16.19,427.96999999999997,1180.58
Clober V2,Dexs,16.04,149.80999999999997,1800.3600000000001
Swop,Dexs,16.0,106.50999999999999,331.52
Carbon.inc,Derivatives,16.0,217.13,478.13
Vicuna Lending,Lending,16.0,17.84,34.57
Origin ARM,Yield,16.0,504.0,3040.0
Sei,Chain,16.0,207.68,736.3599999999999
FluxFlow V3,Dexs,15.7,158.49,914.1200000000001
Canonic,Dexs,15.7,102.35,674.3
KrokoSwap V3,Dexs,15.42,120.95,415.3200000000001
Synapse Cross Chain Bridge,Cross Chain Bridge,15.28,125.66000000000003,1095.44
KiloEx,Derivatives,15.27,118.56999999999998,2800.4000000000005
Domination Finance,Derivatives,15.27,105.23,265.12
bow.fun,Launchpad,15.11,261.68000000000006,6702.25
Topaz AMM,Dexs,15.07,243.9,2054.96
Coffer,Dexs,15.0,89.28,297.83000000000004
MiroShark Token,AI Agents,14.88,462.62,6203.450000000001
Harbor,Yield,14.45,65.23,184.9
Joe V2.1,Dexs,14.09,131.23,722.6999999999999
Omnipair,Lending,14.0,139.0,464.03999999999996
Cashmere,Bridge,14.0,114.0,641.0
XOXNO Lending,Lending,13.25,96.50999999999999,1434.35
Flex,Lending,13.03,89.25,280.14
Beets DEX V3,Dexs,13.0,116.0,457.0
CL8Y DEX,Dexs,13.0,210.79,515.6700000000001
Meta Pool ETH,Liquid Staking,12.97,222.51,878.4500000000002
Liquidium,Lending,12.71,100.16999999999999,574.36
ApeSwap AMM,Dexs,12.53,196.16000000000003,1739.8599999999997
Based Predict,Interface,12.38,86.52000000000001,727.6400000000001
BitFi BTC,Anchor BTC,12.38,12.850000000000001,31.400000000000006
Surge Credit,Lending,12.32,151.22,637.5000000000001
DefiPlaza,Dexs,12.1,164.15,599.9
Fraxlend,Lending,12.08,1244.58,3312.5999999999995
Human Passport,Identity & Reputation,12.05,90.66,392.8
Human ID,Identity & Reputation,12.04,90.66999999999999,391.72
Anoncoin,Launchpad,12.0,292.0,10307.0
STEAMM,Dexs,12.0,93.0,486.16
Kyros,Liquid Restaking,12.0,43.57,26114.58
Coinpilot,Interface,12.0,265.0,1738.52
Algorand,Chain,12.0,93.0,520.0
BabyDogeSwap,Dexs,11.41,178.28,865.7100000000002
Hypertrade V3,Dexs,11.25,243.07,1175.62
Sherwood,Privacy,11.22,242.97999999999996,930.1099999999999
BIM Yield,Yield Aggregator,11.19,240.51000000000002,1196.9700000000003
Pangolin V2,Dexs,11.16,259.0,751.85
Cwallet Perps,Interface,11.0,471.0,852.99
cap,Lending,10.53,166.14,484.1
TONCO V1,Dexs,10.29,46.19,155.38
Pico Staked SOL,Liquid Staking,10.0,55.35,202.62000000000003
Amnis Finance,Liquid Staking,10.0,75.0,223.32999999999998
BrownFi CLAMM,Dexs,9.6,722.6200000000001,1829.1000000000001
BEND,Lending,9.43,64.22,277.87999999999994
Hegic,Options,9.36,-1099.0,-65518.92
Silo V3,Lending,8.82,73.57000000000001,448.35
SYMMIO,Derivatives,8.65,302.01,727.15
Ape.Store,Launchpad,8.55,345.83,31722.670000000002
Hubra Staked SOL,Liquid Staking,8.47,27.979999999999997,109.10000000000001
Extra Finance Xlend,Lending,8.43,52.709999999999994,137.07000000000002
PotatoSwap V3,Dexs,8.37,106.63999999999999,445.33000000000004
HypurrFi Isolated,Lending,8.11,150.72000000000003,1837.0800000000002
GreenTown,SoFi,8.1,13.079999999999998,117.48000000000002
Worm,Prediction Market,8.05,203.57000000000002,7358.570000000001
Sheriff V3,Dexs,8.05,53.79,336.2300000000001
FAITH Protocol,Gamified Mining,8.02,102.52,1415.5200000000002
Kinza Finance,Lending,8.01,102.30000000000001,2675.32
MINER,Gamified Mining,7.98,61.18000000000001,697.1800000000001
Arena SocialFi,SoFi,7.92,91.83000000000001,437.34
DigiFT,RWA,7.73,306.8400000000001,2207.1199999999994
SwapMode V2,Dexs,7.51,14.899999999999999,39.779999999999994
SquadSwap Dynamo,Dexs,7.44,63.129999999999995,201.39
Hercules V3,Dexs,7.43,88.48,330.88000000000005
Rainbow Token Launchpad,Launchpad,7.28,181.22000000000003,2187.8999999999996
Liquid Protocol,Launchpad,7.28,181.13000000000002,2070.44
Puffer Stake,Liquid Restaking,7.2,1628.0,4007.06
Cellana Finance,Dexs,7.18,120.53999999999999,171.54000000000002
HyperLend Isolated,Lending,7.0,39.989999999999995,222.76999999999995
GT3,Dexs,6.65,81.2,821.3000000000002
Supernova AMM,Dexs,6.62,52.8,312.1599999999999
ZealousSwap,Dexs,6.51,114.31999999999998,316.74
Quote,Interface,6.25,84.52,334.46999999999997
SakeFinance,Lending,6.24,48.31,227.0
Pangolin V3,Dexs,6.22,108.14,442.0199999999999
SwapHood V3,Dexs,6.16,291.49,1195.2099999999998
Nuri CL,Dexs,6.04,62.86,255.92999999999992
Starke Staked SOL,Liquid Staking,5.99,29.669999999999995,107.42999999999999
Pennysia,DEX Aggregator,5.86,26.380000000000003,28.410000000000004
SimpleDEX,Dexs,5.82,52.25,241.13
Tristero Darkpool,Dexs,5.77,40.349999999999994,166.63000000000002
SparkDEX Perps,Derivatives,5.55,1202.3899999999999,6750.73
Yieldzio,Interface,5.37,428.48999999999995,3001.9700000000003
Lista RWA,RWA,5.33,39.47,284.12999999999994
HyperYield,Lending,5.31,5.2,51.58
Koi Finance AMM,Dexs,5.3,53.080000000000005,282.28999999999996
Agen.space,Launchpad,5.06,228.39999999999998,5952.959999999999
Nerve,Dexs,5.06,39.14999999999999,259.23
CORE,Chain,4.92,54.510000000000005,259.86999999999995
RobinSwap V3,Dexs,4.9,41.690000000000005,456.19000000000005
MMT Perps,Interface,4.87,82.13,439.58000000000015
Astar,Chain,4.66,54.849999999999994,118.46999999999998
FLock.io,Decentralized AI,4.52,97.17000000000002,673.8399999999999
Charm Finance V2,Liquidity Manager,4.52,75.52,298.8500000000001
Shield Swap,Dexs,4.35,180.51999999999998,741.8
Hyperlynx V3,Dexs,4.31,40.35,234.59
Jester Perps,Interface,4.29,37.199999999999996,85.92
Mendi Finance,Lending,4.2,82.13,301.31
Abracadabra Spell,CDP,4.13,4.25,2669.6700000000005
